code,dispensing_patients
A87009,0
A87011,0
A87012,0
A87013,0
A87014,0
A87015,0
A87016,0
A87017,450
A87019,0
A87020,0
A87022,0
A87023,0
A87027,0
A87029,0
A87030,0
A87600,0
A87612,0
A87615,0
A88001,0
A88002,0
A88003,0
A88004,0
A88005,0
A88006,0
A88007,0
A88008,0
A88009,0
A88010,0
A88011,0
A88012,0
A88013,0
A88014,0
A88015,0
A88016,0
A88020,0
A88022,0
A88023,0
A88025,0
A88601,0
A88603,0
A88608,0
A88611,0
A88613,0
A88614,0
A89001,0
A89002,0
A89003,0
A89004,0
A89005,0
A89006,0
A89007,0
A89008,0
A89009,0
A89010,0
A89011,0
A89012,0
A89013,0
A89014,0
A89015,0
A89016,0
A89017,0
A89018,0
A89019,0
A89020,0
A89021,0
A89022,0
A89023,0
A89024,0
A89025,0
A89026,0
A89027,0
A89028,0
A89029,0
A89030,0
A89031,0
A89032,0
A89034,0
A89035,0
A89036,0
A89040,0
A89041,0
A89042,0
A89603,0
A89604,0
A89610,0
A89612,0
A89614,0
A89616,0
A89617,0
A89620,0
A89623,0
A89624,0
A89632,0
A89634,0
B81002,0
B81003,0
B81004,3276
B81005,5004
B81006,0
B81007,4731
B81008,0
B81009,1680
B81010,0
B81011,0
B81012,0
B81013,0
B81014,0
B81015,0
B81016,0
B81017,0
B81018,0
B81020,320
B81021,0
B81022,0
B81023,0
B81024,0
B81025,3414
B81026,0
B81027,0
B81029,6106
B81030,0
B81031,0
B81032,0
B81034,8557
B81035,0
B81036,6543
B81037,7113
B81038,0
B81039,5201
B81040,0
B81041,2751
B81042,2601
B81043,9884
B81045,0
B81046,0
B81047,0
B81048,0
B81049,0
B81050,5661
B81051,0
B81052,0
B81053,0
B81054,0
B81055,0
B81056,0
B81058,0
B81060,0
B81061,7165
B81062,5235
B81063,3030
B81064,0
B81065,3967
B81066,0
B81068,0
B81069,0
B81070,0
B81074,0
B81075,0
B81077,0
B81080,0
B81081,0
B81082,0
B81084,0
B81085,0
B81087,0
B81088,0
B81089,0
B81090,0
B81091,0
B81092,5310
B81094,0
B81095,0
B81097,0
B81099,2028
B81100,0
B81101,928
B81104,0
B81108,0
B81109,4732
B81112,0
B81113,0
B81118,0
B81119,0
B81121,0
B81602,0
B81603,0
B81606,0
B81616,0
B81617,0
B81619,0
B81620,0
B81628,2926
B81631,0
B81635,0
B81642,0
B81645,0
B81647,452
B81648,1156
B81653,0
B81655,0
B81656,0
B81658,0
B81663,0
B81664,0
B81665,5
B81666,0
B81675,0
B81677,0
B81682,0
B81685,0
B81688,0
B81689,0
B81692,0
B81693,0
B81696,0
B81697,0
B82001,0
B82002,3072
B82004,8197
B82005,0
B82007,5133
B82008,2536
B82010,1802
B82011,4765
B82012,2333
B82013,0
B82014,0
B82016,0
B82017,2808
B82018,5296
B82019,2587
B82020,0
B82021,0
B82022,0
B82023,0
B82024,0
B82025,3157
B82026,1548
B82027,0
B82028,0
B82029,3161
B82030,3639
B82031,3149
B82032,6038
B82033,2376
B82034,1525
B82035,3383
B82036,1414
B82037,1164
B82038,0
B82041,3740
B82042,3242
B82044,0
B82045,3138
B82046,2259
B82047,0
B82049,2645
B82050,8899
B82053,0
B82054,1977
B82057,5622
B82059,884
B82060,0
B82061,2601
B82062,1916
B82063,4482
B82064,3107
B82066,0
B82067,0
B82068,3003
B82069,1682
B82071,1476
B82072,1601
B82073,4197
B82074,2002
B82075,3298
B82077,0
B82078,3611
B82079,2839
B82080,4221
B82081,6210
B82083,0
B82086,2186
B82088,0
B82091,0
B82092,0
B82097,0
B82098,0
B82100,0
B82101,3428
B82103,0
B82104,0
B82105,2739
B82106,700
B82609,3859
B82611,0
B82619,1085
B82622,1587
B82628,0
B82634,0
B82635,0
B82636,0
B82638,0
B82640,0
B83002,0
B83005,0
B83006,0
B83007,0
B83008,0
B83009,0
B83010,0
B83011,0
B83012,0
B83013,0
B83014,0
B83015,0
B83016,0
B83017,0
B83018,0
B83019,0
B83020,0
B83021,0
B83022,0
B83023,0
B83025,0
B83026,0
B83027,2353
B83028,0
B83029,0
B83030,0
B83031,0
B83032,0
B83033,0
B83034,0
B83035,0
B83037,0
B83038,0
B83039,0
B83040,0
B83041,0
B83042,0
B83043,0
B83044,0
B83045,0
B83049,0
B83050,0
B83051,0
B83052,0
B83054,0
B83055,0
B83056,0
B83058,0
B83061,0
B83062,0
B83063,0
B83064,0
B83067,0
B83069,0
B83070,0
B83602,0
B83604,0
B83611,0
B83613,0
B83614,0
B83617,0
B83620,306
B83621,0
B83622,0
B83624,0
B83626,0
B83627,0
B83628,0
B83629,0
B83631,0
B83638,0
B83641,0
B83642,0
B83653,0
B83656,0
B83657,0
B83659,0
B83660,0
B83661,0
B83662,0
B83666,0
B83667,0
B83690,0
B83693,0
B83695,0
B83696,0
B83699,0
B84001,0
B84002,0
B84003,0
B84004,0
B84005,0
